source_system;category;question;answer
evdi;Informationen für Anleger;Wie beginnt der Prozess der Geldanlage?;Der Prozess beginnt mit der Abgabe eines unverbindlichen Gebots auf der Projektseite. Der Anleger gibt den gewünschten Betrag zwischen 100 Euro und 25.000 Euro ein und sendet das Gebot mit einem Klick ab.
evdi;Informationen für Anleger;Was geschieht nach der Abgabe des unverbindlichen Gebots?;Nach der Abgabe des Gebots muss sich der Anleger anmelden, falls er dies noch nicht getan hat. Anschließend erhält er per E-Mail den Anlegervertrag und weitere relevante Unterlagen.
evdi;Informationen für Anleger;Wann wird das Investment verbindlich?;Das Investment wird erst verbindlich, nachdem der Anleger die erhaltenen Dokumente und den Vertrag geprüft und bestätigt hat. Die Bestätigung macht das Gebot verbindlich.
evdi;Informationen für Anleger;Wie erfolgt die Geldüberweisung und in welchem Zeitrahmen?;Der Anleger muss die vertraglich festgelegte Summe innerhalb von 5 Bankarbeitstagen direkt überweisen.
evdi;Informationen für Anleger;Wann startet das Projekt?;Das Projekt startet, wenn entweder der Finanzierungszeitraum beendet ist oder die Gesamtfinanzierungssumme erreicht wurde.
evdi;Informationen für Anleger;Wie werden die Zinsen ausgezahlt?;Die Zinsen werden quartalsweise direkt auf das vom Anleger für die Auszahlung angegebene Konto überwiesen.
evdi;Informationen für Anleger;Wann erhält der Anleger seinen Finanzierungsbeitrag zurück?;Der Anleger erhält seinen Finanzierungsbeitrag am Ende der Laufzeit zurück. Dies wird als endfällige Tilgung bezeichnet.
evdi;Informationen für Anleger;Was ist eine optionale Re-Investition?;Eine optionale Re-Investition bedeutet, dass der Anleger das ausgezahlte Kapital, falls er es nicht sofort benötigt, in weitere Crowdinvesting-Projekte investieren kann.
evdi;Informationen für Anleger;Warum wird eine Streuung des Kapitals empfohlen?;Eine Streuung des Kapitals über verschiedene Projekte und Assetklassen wird empfohlen, um das Risiko zu diversifizieren und potenziell bessere Gesamtrenditen zu erzielen.
evdi;Informationen für Anleger;Welche Schritte umfasst der gesamte Prozess der Geldanlage?;Der gesamte Prozess umfasst sechs Schritte: 1. Unverbindliches Gebot abgeben, 2. Anmelden und Dokumente erhalten, 3. Gebot überprüfen und bestätigen, 4. Geld überweisen, 5. Rückzahlungen erhalten, und optional 6. Re-Investition.
evdi;Informationen für Anleger;Was sind die drei Hauptbausteine der Finanzierung von Immobilienprojekten?;Die drei Hauptbausteine der Finanzierung von Immobilienprojekten sind Eigenkapital, Fremdkapital von Banken und Mezzanine-Kapital. Projektentwickler setzen zum Teil Eigenkapital ein, finanzieren den größten Teil über Banken und nutzen Mezzanine-Kapital als wichtigen dritten Baustein im Finanzierungsmix.
evdi;Informationen für Anleger;Was ist Mezzanine-Kapital und welche Rolle spielt es bei der Immobilienfinanzierung?;Mezzanine-Kapital ist eine Finanzierungsform, die von Dritten stammt, aber von Banken wie Eigenkapital behandelt wird. Es ist im Insolvenzfall gegenüber dem Fremdkapital nachrangig. Engel & Völkers Digital Invest und institutionelle Partner stellen dieses Kapital Projektentwicklern zur Verfügung. Es spielt eine wichtige Rolle als dritter Baustein im Finanzierungsmix, neben Eigen- und Fremdkapital.
evdi;Informationen für Anleger;Wie analysiert Engel & Völkers Digital Invest Immobilienprojekte?;Engel & Völkers Digital Invest verwendet ein eigens entwickeltes, einzigartiges Analysekonzept für die Projektfinanzierung von Bauvorhaben und Grundstücken. Dieses Konzept wird in Zusammenarbeit mit zahlreichen Partnern angewendet. Es untersucht verschiedene Aspekte wie Markt, Standort, Grundstück und Wirtschaftlichkeit. Jede Kategorie wird mit einer Punktzahl zwischen 0 und 800 bewertet, wobei die Gewichtung der Kategorien je nach Projekt variiert.
evdi;Informationen für Anleger;Welche Rolle spielen private Anleger bei der Finanzierung von Immobilienprojekten durch Engel & Völkers Digital Invest?;Private Anleger spielen eine wichtige Rolle, da das Geld, das Engel & Völkers Digital Invest über ihre digitale Plattform von privaten Anlegern einsammelt, als Mezzanine-Kapital für Immobilienprojekte verwendet wird. Dieses Kapital trägt zur Finanzierungsstruktur bei und hilft, die Lücke zwischen der anfänglichen Investition und der Ertragsphase zu überbrücken.
evdi;Informationen für Anleger;Warum sind große Immobilienprojekte kostenintensiv und wie werden die Kosten langfristig ausgeglichen?;Große Immobilienprojekte sind aufgrund der umfangreichen Planungs- und Umsetzungsarbeiten sehr kostenintensiv. Die hohen anfänglichen Kosten werden langfristig durch potenzielle hohe Erträge ausgeglichen. Diese Erträge können entweder durch Verkaufserlöse oder regelmäßige Mieteinnahmen erzielt werden. Die verschiedenen Finanzierungsbausteine helfen dabei, die zeitliche Lücke zwischen der Investitionsphase und der Ertragsphase zu überbrücken.
