source_system;category;question;answer
evdi;Geld anlegen;In was genau investiere ich?;Sie stellen - zusammen mit den anderen Crowd-Anlegern und den institutionellen Investoren – einem Immobilien-Unternehmen Kapital für eine Immobilien-Finanzierung zur Verfügung, zum Beispiel für den Bau von Eigentumswohnungen. Dafür erhalten Sie Zinsen, die bei planmäßigem Projektverlauf quartalsweise an Sie ausgezahlt werden. Am Ende der Laufzeit erhalten Sie das von Ihnen investierte Kapital zurück (endfälliges Darlehen).
evdi;Geld anlegen;Kann ich von meinem Investment zurücktreten?;Sie haben das Recht, innerhalb von 14 Tagen nach Vertragsabschluss von dem Vertrag zurückzutreten – der Widerruf muss schriftlich erfolgen und ist per E-Mail, Fax oder Brief möglich. Einen Vordruck der Widerrufserklärung finden Sie am Ende der VVI (Vorvertragliche Informationen), welche Sie mit den Vertragsunterlagen erhalten. Bei Investitionen nach der ECSP-Verordnung können als Einsteiger klassifizierte Anleger zusätzlich die vorvertragliche Bedenkzeit von vier Tagen geltend machen und die Zustimmung des Investitionsvertrages kostenfrei widerrufen.
evdi;Geld anlegen;Welche Möglichkeiten haben institutionelle Anleger?;Für Vermögensanlageangebote gemäß Vermögensanlage-Gesetz (VermAnlG) gilt: Kapitalgesellschaften fallen nicht unter das Kleinanlegerschutzgesetz und können dadurch auch Investitionen über 25.000 Euro tätigen. Bitte registrieren Sie sich in diesem Fall als institutioneller Investor. Für Schwarmfinanzierungen gemäß Verordnung (EU) 2020/1503 („SF-VO“) gilt: Sie können als nicht kundiger privater Anleger zwischen 100 Euro und maximal 25.000 Euro pro Darlehensnehmer investieren. Privatpersonen mit umfangreicher Erfahrung (kundige Anleger) können unter bestimmten Umständen pro Darlehensnehmer auch Einzelinvestments von bis zu 100.000€ und nach vorheriger Absprache auch mehr investieren. Sie können Ihre Einstufung in Ihren Kontoeinstellungen unter dem Punkt „Anlegerschutz“ einsehen und aktualisieren.
evdi;Anlageprojekte;"Was bedeutet ""die Kaufpreise werden gemäß Makler- und Bauträgerverordnung (MaBV) fällig""?";Wer ein Grundstück und schlüsselfertiges Haus von einem Anbieter erwerben möchte, schließt in der Regel einen Vertrag mit einem Bauträger ab. Der Bauträgervertrag muss alle Eckpunkte des geplanten Kaufs, vor allem die einzelnen Zahlungsschritte, detailliert auflisten. Diese Zahlungsschritte und die für den Kauf gültigen Regeln legt die Makler- und Bauträgerverordnung (MaBV) fest. Der Bauträger kann höchstens sieben Raten anfordern, die aus den folgenden Baufortschrittsraten zusammenzusetzen sind:\r\n\r\n30 Prozent der Vertragssumme kann der Bauträger für die Übertragung des Eigentums am Grundstück veranschlagen\r\n28 Prozent der Vertragssumme werden nach Rohbaufertigstellung, einschließlich Zimmererarbeiten, fällig\r\n5,6 Prozent für die Herstellung der Dachflächen und Dachrinnen\r\n2,1 Prozent für die Rohinstallation der Heizungsanlagen\r\n2,1 Prozent für die Rohinstallation der Sanitäranlagen\r\n2,1 Prozent für die Rohinstallation der Elektroanlagen\r\n7,0 Prozent für den Fenstereinbau, einschließlich der Verglasung\r\n4,2 Prozent für den Innenputz, ausgenommen Beiputzarbeiten\r\n2,1 Prozent für den Estrich\r\n2,8 Prozent für die Fliesenarbeiten im Sanitärbereich\r\n8,4 Prozent nach Bezugsfertigkeit und Zug um Zug gegen Besitzübergabe\r\n2,1 Prozent für die Fassadenarbeiten\r\n3,5 Prozent nach vollständiger Fertigstellung\r\nFür den Fall, dass einige der genannten Leistungen nicht erforderlich sind, sieht die MaBV vor, dass die jeweiligen Prozentsätze anteilig auf die verbleibenden Raten aufgeteilt werden. \r\n\r\nDie MaBV dient letztlich als Käuferschutz: Der Bauträger muss immer zuerst einen Teil fertig bauen und der Käufer erst dann bezahlen. Der Bauträger geht also immer in Vorleistung. So hat der Käufer stets die Möglichkeit, sich vor Bezahlung von der ordnungsgemäßen Ausführung der Bauleistungen zu überzeugen.
evdi;Anlageprojekte;Wo kann ich den Finanzierungsstand eines Projektes einsehen?;Unter dem Navigationspunkt 'Projekte' finden Sie eine Projektübersicht mit allen Konditionen und wichtigen Informationen zu jedem Anlageprojekt. Dort finden Sie während der Finanzierungsphase auch die Informationen dazu, wie weit die Finanzierung des Projektes bereits vorangeschritten ist. Das Zustandekommen jedes angebotenen Projektes ist allerdings ohnehin immer durch unsere Finanzierungsgarantie gewährleistet.
evdi;Anlageprojekte;Wie erfolgt die Auswahl der Projekte?;Jedes Immobilienprojekt wird in einem eigens von Engel & Völkers Digital Invest für die Projektfinanzierung von Bauvorhaben und Grundstücken entwickelten, einzigartigen Konzept gemeinsam mit einer Vielzahl an starken Partnern analysiert. Je nach Vorhaben werden die Projekte nach verschiedenen Gesichtspunkten analysiert. Dazu gehören unter anderem die Wirtschaftlichkeit, der Standort, das Grundstück sowie der jeweilige Markt. In jeder Kategorie erhalten die Anlageprojekte eine Punktzahl zwischen 0 und 800, wobei auch die individuelle Projekt-Charakteristik mit berücksichtigt wird. Neben dem Netzwerk und dem Expertenwissen von Engel & Völkers basiert die eigenverantwortliche, von Engel & Völkers Digital Invest verfasste Projekteinschätzung auf der Expertise von etablierten Partnern wie dem Immobilienbewertungsunternehmen bulwiengesa appraisal GmbH, dem Beratungsunternehmen CBRE sowie der Wirtschaftsprüfungsgesellschaft Roever Broenner Susat Mazars.
evdi;Anlageprojekte;Warum werden auf anderen Plattformen zum Teil viel mehr Projekte angeboten?;Bei uns geht Qualität vor Quantität: Wir analysieren die Projekte sehr gründlich und schauen uns insbesondere die angesetzten Kosten, geplanten Verkaufslöse sowie die vom Projektentwickler erwarteten Renditen im Detail an und beschaffen uns Referenzwerte. Dabei modellieren wir einen nachhaltigen und in Stresssituation beständigen Projekterfolg. Die überwiegende Mehrheit der uns angebotenen Projekte lehnen wir ab, weil aus unserer Sicht vom Projektentwickler Kosten zu knapp angesetzt, Verkaufserlöse zu optimistisch prognostiziert oder Margen unrealistisch kalkuliert wurden. Die Projekte, die es auf unsere Plattform schaffen, können wir Anlegern guten Gewissens anbieten – wobei es sich dabei nie um eine Investitionsempfehlung handelt. Anleger müssen bei jedem Projekt selbst entscheiden, ob es zu ihrem Risikoprofil passt.
evdi;Anlageprojekte;Ist die Investition bei Engel & Völkers Digital Invest vergleichbar mit der Investition in einen Immobilienfonds?;Nein, denn Sie investieren direkt in ein Immobilienprojekt und nicht indirekt über ein Fondskonstrukt. Der Vorteil für Sie ist, dass keine fondstypischen Management-Gebühren anfallen. Sie können zudem selbst entscheiden, in welche Projekte Sie investieren. Ihre Renditechancen sind somit in der Regel höher als bei einem Immobilienfonds.
evdi;Anlageprojekte;Was ist ein nachrangiges Darlehen?;Bei Investitionsprojekten nach dem Vermögensanlagegesetz handelt es sich um qualifizierte Nachrangdarlehen. Im Insolvenzfall werden Kapitalgeber von Nachrangdarlehen erst nach den vorrangigen Fremdkapitalgebern (wie z.B. Banken) bedient. Zusätzlich unterliegen qualifizierte Nachrangdarlehen dem Insolvenzvorbehalt, der eine Geltendmachung der Forderungen durch den Darlehensgeber verhindert, falls dies eine Insolvenz des Darlehensnehmers herbeiführen würde. Als Ausgleich für das höhere Risiko erhalten Sie als Nachranginvestor tendenziell eine höhere Verzinsung als vorrangige Fremdkapitalgeber. Sie erkennen Investitionsprojekte mit qualifizierten Nachrangdarlehen neben der expliziten Nachrang-Erklärung in den Vertragsunterlagen u.a. an dem Hinweis „Dieses Investitionsprojekt wird vermittelt im Rahmen des VermAnlG und mit Erlaubnis gemäß §34f GewO.“, sowie auch am beigefügten Vermögensanlageninformationsblatt (VIB).
evdi;Anlageprojekte;Was bedeuten die römischen Zahlen bei vielen Investitionsprojekten?;Viele unsere Immobilienprojekte werden mehrfach auf unserer Plattform angeboten. Dies kann unterschiedliche Gründe haben: Verlängerung des Finanzierungszeitraums bei Bestandsgebäuden: Für bestehende Gebäude werden die Finanzierungsstruktur in regelmäßigen Abständen erneuert. Hier werden im Regelfall die Anleger des vorherigen Investitionsprojektes im Vorfeld ausgezahlt und neue Anleger können in das Folgeinvestitionsprojekt investieren. Verlängerung des Finanzierungszeitraums bei Bauvorhaben: Es kann passieren, dass der ursprünglich geplante Zeitplan eines Bauvorhabens nicht eingehalten werden kann. Hier können wir, sofern wir das Immobilienprojekt weiterhin für wirtschaftlich halten, eine Verlängerung mittels einer zweiten Finanzierung anbieten. Auch hier werden die Anleger der ursprünglichen Finanzierung im Vorfeld ausgezahlt. Zusätzlicher Kapitalbedarf: Es ist möglich, dass sich im Verlauf des Bauvorhabens durch das Erreichen neuer Projektphasen zusätzlicher Kapitalbedarf ergibt, durch Neustrukturierung des Finanzierungsmix weitere Anteile ersetzt werden oder sich der allgemeine Kapitalbedarf im Rahmen der Wirtschaftlichkeit erhöht, was die Aufnahme zusätzlichen Kapitals erfordert. Auch hier können wir nach eingehender Analyse zusätzliche Investitionsprojekte anbieten.
evdi;Ablauf der Investition;"Wie kann ich bezahlen und wie lange habe ich dafür Zeit?";"Nachdem Sie uns im Online-Formular Ihre gewünschte Investitionssumme genannt und den entsprechenden Vertrag (den Sie per E-Mail von uns erhalten) akzeptiert haben, haben Sie drei Möglichkeiten, Ihr Gebot zu bezahlen:\r\n- Sie können im Anschluss direkt auf unserer Plattform eine Online-Überweisung tätigen.\r\n- Sie können den Betrag im Nachgang unabhängig von uns an die angegebene Kontoverbindung überweisen.\r\n- Sie können eine Lastschriftbuchung autorisieren.\r\nIhre Überweisung muss spätestens fünf Bankarbeitstage nach Vertragsabschluss auf dem in den Vertragsunterlagen angegebenen Zahlungskonto eingegangen sein."
evdi;Ablauf der Investition;"Wo finde ich die Überweisungsdaten für meine Investition?";"Die Daten finden Sie zu einem in Ihrem Darlehensvertrag sowie in Ihrem Kundenkonto unter dem Menüpunkt ""Mein Portfolio"". Klicken Sie dazu auf den Button ""Zahlungsinformationen""."
evdi;Ablauf der Investition;"Warum kann ich meine Auszahlpläne erst rund 16 Tage nach Kampagnenende sehen?";"Allen Anlegern – auch denen, die erst am letzten Tag der Kampagne investiert haben – steht ein 14-tägiges Widerrufsrecht zu. Erst 14 Tage nach Kampagnenende steht also fest, wie genau sich die Finanzierungsstruktur zusammensetzt. Um einen potenziellen Widerruf am letztmöglichen Tag verarbeiten zu können und die Auszahlung vorzubereiten, folgen noch zwei Tage Bearbeitungszeit. Der Projektentwickler kann sein Darlehen entsprechend erst 16 Tage nach Kampagnenende vom Zahlungskonto abrufen.\r\nUngeachtet dessen beginnt die Laufzeit Ihres Investments bereits ab dem Tag, an dem der Betrag auf dem Zahlungskonto unseres Treuhänders eingegangen ist. Ab diesem Tag zahlen wir Ihnen Zinsen. Die Verzinsung für die individuelle Periode zwischen Geldeingang und Projektstart wird Ihnen separat ausgewiesen und zeitgleich mit der ersten regulären Zinsrate ausgezahlt. Die Zahlung der Zinsraten erfolgt in der Regel quartalsweise zu den Stichtagen 31. März, 30. Juni, 30. September und 31. Dezember."
evdi;Ablauf der Investition;"Wann erhalte ich mein eingesetztes Kapital wieder zurück?";"Wir vermitteln endfällige Darlehen. Das heißt, Sie bekommen Ihre Investmentsumme am Ende der Laufzeit zurück. Die Zinszahlungen hingegen erfolgen i.d.R. quartalsweise während der Laufzeit."
evdi;Ablauf der Investition;"An wen wende ich mich mit Fragen oder Beschwerden?";"Unser Kundenservice hilft Ihnen telefonisch oder per Mail gerne weiter: Auf Anfragen an service@ev-digitalinvest.de antworten wir an Werktagen im Regelfall innerhalb von 24 Stunden. Alternativ erreichen Sie uns werktags von 9 bis 17 Uhr unter Tel. 030 / 403 691 550. Sollten projektspezifische Fragen gehäuft auftreten, veröffentlichen wir Antworten dazu auch auf der jeweiligen Projektseite im Bereich „Updates“."
evdi;Ablauf der Investition;"Worum handelt es sich bei der vorvertraglichen Bedenkzeit?";"Falls Sie als Einsteiger klassifiziert wurden und damit als nicht kundiger Anleger im Sinne der ECSP-Verordnung gelten, können Sie Ihre Zustimmung zu einem Schwarmfinanzierungsangebot innerhalb der vorvertraglichen Bedenkzeit von vier Kalendertagen ohne Angabe von Gründen und ohne Vertragsstrafe widerrufen. Die Bedenkzeit beginnt mit dem kostenpflichtigen Absenden Ihres Gebots. Vor Gebotsabgabe informieren wir Sie über dieses Recht. Der Widerruf kann per E-Mail an service@ev-digitalinvest.de erfolgen. Für Verbraucher gilt zusätzlich das gesetzliche Widerrufsrecht nach dem BGB, das eine Frist von 14 Tagen ab Vertragsschluss vorsieht."
evdi;Automatisierte Investmentstrategien;"Wie funktioniert die automatisierte Investmentstrategie?";"Die Funktion der automatisierten Investmentstrategie steht nur identifizierten Anlegern zur Verfügung. In Ihrem Anlegerkonto können Sie dann unter „Automatisieren“ Ihre Wunscheinstellungen zu den gewünschten Immobilienanlagen treffen und als ""Automatische Investmentstrategie"" aktivieren. Erfüllt ein neues Projekt auf unserer Plattform Ihre Wünsche, reservieren wir Ihnen automatisch vor dem Projektstart ein Investment, welches Sie anschließend bis kurz vor dem offiziellen Start bestätigen müssen. Auf diese Weise können Sie sicher sein, Ihre Wunschprojekte nicht mehr zu verpassen."
evdi;Automatisierte Investmentstrategien;"Was passiert, wenn ich die Reservierung nicht nutze?";"Wir löschen rund 15 Minuten vor dem offiziellen Projektstart nicht genutzte Reservierungen und geben anderen Anlegern die Chance auf ein Investment. Sollten Sie den Zeitpunkt verpasst oder mehr als den eingestellten Betrag investieren wollen, können Sie dies ebenfalls nach dem offiziellen Projektstart einstellen."
evdi;Automatisierte Investmentstrategien;"Kann ich den Investitionsbetrag für meine Reservierung ändern?";"Sie können den Betrag der für Sie angelegten Reservierung nicht ändern. In der Regel berücksichtigen wir den von Ihnen eingestellten Betrag. Zusätzliche Beträge können Sie über ein weiteres Investment nach Projektstart platzieren."
