source_system;category;question;answer;answer_instructions
evdi;Ansprüche aus Schwarmfinanzierungen;Welche Stellung haben Investoren bei Schwarmfinanzierungen im Vergleich zu anderen Gläubigern?;Die Ansprüche der Investoren bei Schwarmfinanzierungen werden gleichrangig mit anderen Gläubigern bedient, außer es wurde ein Nachrang mit einer finanzierenden Bank vereinbart. Selbst bei Gleichrangigkeit kann die Bank vorrangige Sicherheiten haben, was das Risiko der Investoren erhöht.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Ansprüche aus Schwarmfinanzierungen;Was bedeutet es, wenn die Ansprüche der Investoren nachrangig gegenüber einer Bank sind?;Nachrangige Ansprüche bedeuten, dass Investoren erst nach den Forderungen der finanzierenden Bank bedient werden. Dies erhöht das Risiko für die Anleger, da im Insolvenzfall vorrangige Gläubiger zuerst aus der Vermögensmasse befriedigt werden, was zu einem Totalverlust führen kann.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Ansprüche aus Schwarmfinanzierungen;Wie wirken sich vorrangige Sicherheiten einer Bank auf die Investoren in Schwarmfinanzierungen aus?;Vorrangige Sicherheiten einer Bank, wie Grundschulden, verschaffen der Bank im Insolvenzfall eine risikoärmere Position. Dies erhöht das Risiko für Investoren, da ihre Ansprüche möglicherweise nachrangig sind, was zu einem Totalverlust führen kann.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Qualifizierte Nachrangdarlehen;Was ist ein qualifiziertes Nachrangdarlehen und wie wirkt sich dieses auf Investoren aus?;Ein qualifiziertes Nachrangdarlehen bedeutet, dass Investoren im Insolvenzfall erst nach anderen Gläubigern bedient werden. Ihre Forderungen werden nur aus der verbleibenden Vermögensmasse befriedigt, was zu einem Totalverlust der Investition führen kann.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Qualifizierte Nachrangdarlehen;Wann können Investoren ihre Forderungen bei einem qualifizierten Nachrangdarlehen geltend machen?;Investoren können ihre Forderungen bei einem qualifizierten Nachrangdarlehen nur geltend machen, wenn die finanzielle Situation des Darlehensnehmers stabil genug ist, dass keine Insolvenzgefahr besteht. Ist dies nicht der Fall, bleiben die Forderungen der Investoren unerfüllt.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Qualifizierte Nachrangdarlehen;Warum sind qualifizierte Nachrangdarlehen mit einem hohen Risiko verbunden?;Qualifizierte Nachrangdarlehen sind mit einem hohen Risiko verbunden, da Investoren im Insolvenzfall erst nach allen vorrangigen Gläubigern bedient werden. Das kann zu einem Totalverlust führen, wenn keine ausreichenden Mittel mehr zur Verfügung stehen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Welche Risiken bestehen bei Immobilieninvestitionen in Schwarmfinanzierungen?;Immobilieninvestitionen über Schwarmfinanzierungen sind mit Risiken verbunden, darunter die Möglichkeit des vollständigen Kapitalverlusts, Zinsausfälle oder Insolvenz des Emittenten. Anleger sollten die Risiken vor einer Investition genau abwägen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Wie können sich externe Faktoren auf die Rendite von Immobilienprojekten auswirken?;Externe Faktoren wie Marktbedingungen oder rechtliche Änderungen können sich negativ auf die Rendite von Immobilienprojekten auswirken. Diese Entwicklungen sind oft schwer vorhersehbar und unabhängig von den Entscheidungen des Emittenten.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Welche finanzielle Risiken bestehen bei der Finanzierung eines Investments mit Fremdkapital?;Wenn Anleger ihr Investment mit Fremdkapital finanzieren, tragen sie ein zusätzliches Risiko. Selbst bei einem Totalverlust des Investments bleiben die Zins- und Rückzahlungsverpflichtungen für das Fremdkapital bestehen, was die finanzielle Situation verschärfen kann.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Warum sollte ein Investment in Immobilienprojekte nur Teil einer umfassenden Anlagestrategie sein?;Ein Investment in Immobilienprojekte sollte nur einen Teil der gesamten Anlagestrategie ausmachen, da diese Anlagen mit erheblichen Risiken verbunden sind. Ein Totalverlust kann nicht ausgeschlossen werden, daher ist Diversifikation der Kapitalanlagen ratsam.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Welche Rolle spielt die Liquidität bei der Investition in Immobilienprojekte?;Die Liquidität spielt eine entscheidende Rolle, da Anleger bei Immobilienprojekten über längere Zeiträume nicht frei über ihr Kapital verfügen können. Eine schlechte Liquidität kann die Fähigkeit, auf unerwartete Ausgaben zu reagieren, stark einschränken.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Was sollte ein Anleger beachten, bevor er in ein Immobilienprojekt investiert?;Anleger sollten sorgfältig ihre Risikobereitschaft prüfen, bevor sie in Immobilienprojekte investieren. Sie müssen bereit sein, einen Totalverlust zu akzeptieren und sicherstellen, dass das Investment nur einen angemessenen Anteil ihrer Gesamtanlagen ausmacht.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Warum wird empfohlen, die Risiken durch Diversifikation zu streuen?;Diversifikation wird empfohlen, um das Risiko von Totalverlusten zu reduzieren. Anstatt in nur ein Projekt zu investieren, sollten Anleger ihr Kapital auf mehrere Projekte verteilen, um die Auswirkungen eines einzelnen Verlusts zu minimieren.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Warum sollten Anleger ihre Investitionsentscheidungen unabhängig treffen?;Die Entscheidung, in ein Immobilienprojekt zu investieren, liegt allein beim Anleger. Engel & Völkers Digital Invest bietet keine Anlageberatung, daher ist es wichtig, dass Anleger ihre Investitionen eigenständig prüfen und gegebenenfalls unabhängige Berater hinzuziehen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Welche Verantwortung trägt Engel & Völkers Digital Invest im Hinblick auf die Schwarmfinanzierungen?;Engel & Völkers Digital Invest ist lediglich Vermittler der Schwarmfinanzierungen und übernimmt keine Verantwortung für Zahlungen, Vertragsverpflichtungen oder die Entwicklung der Immobilienprojekte. Anleger müssen sich eigenständig über das Risiko informieren.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Wie wirken sich Veränderungen des Marktes auf Immobilienprojekte aus?;Veränderungen des Marktes können die wirtschaftliche Leistung von Immobilienprojekten stark beeinflussen. Diese Veränderungen sind oft unvorhersehbar und können die Rückzahlung von Kapital oder Zinsen gefährden, was zu Verlusten für die Anleger führen kann.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Hinweise;Welche Rolle spielt die BaFin bei Schwarmfinanzierungen und Vermögensanlagen?;Die BaFin genehmigt wichtige Dokumente wie Vermögensanlagen- und Anlagebasisinformationsblätter, die notwendig sind, um Transparenz bei Schwarmfinanzierungen und Vermögensanlagen zu gewährleisten. Dennoch übernimmt sie keine Haftung für die Anlageentscheidungen der Investoren.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Verkauf von Investments;Welche Schwierigkeiten bestehen beim Verkauf von Schwarmfinanzierungsinvestitionen?;Der Verkauf von Schwarmfinanzierungsinvestitionen ist oft schwierig oder unmöglich, da kein geregelter Handelsplatz wie eine Börse existiert. Anleger könnten während der Laufzeit der Investition nicht frei über ihre investierten Mittel verfügen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Verkauf von Investments;Sind Schwarmfinanzierungen mit Wertpapieren vergleichbar?;Schwarmfinanzierungen sind keine Wertpapiere und bieten daher weniger Flexibilität beim Verkauf. Es existiert kein geregelter Handelsplatz, was den Verkauf kompliziert oder unmöglich macht und die Liquidität des Investments einschränkt.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
